sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_40,178.9803015320512,78.0,,"[11.75, 41.75]",128.17403524756696,,"[12.88, 42.88]",128.0261528725784,,"[12.88, 42.88]",128.0261528725784,,"[22.54, 52.54]",114.13592662521438,,"[14.22, 44.22]",114.59369103681284
sample_41,68.50850060017176,85.0,,"[19.45, 49.45]",69.11882131785401,,"[28.09, 58.09]",123.13597634848563,,"[28.09, 58.09]",123.13597634848563,,"[26.75, 56.75]",123.28607095331088,,"[27.68, 57.68]",123.13597634977066
sample_42,126.80397520763812,73.0,,"[30.00, 60.00]",126.96909673364766,,"[16.55, 46.55]",126.2060612965464,,"[16.55, 46.55]",126.2060612965464,,"[18.14, 48.14]",126.5112754713869,,"[16.87, 46.87]",126.35866838396666
sample_43,124.27069254510054,79.0,,"[30.00, 60.00]",178.51038708135331,,"[0.64, 30.64]",69.42324607929916,,"[0.64, 30.64]",69.42324607929916,,"[10.41, 40.41]",124.22196346145869,,"[0.37, 30.37]",69.42324607893757
sample_44,126.4190623589717,78.0,,"[0.75, 30.75]",179.1381764767431,,"[16.27, 46.27]",125.76558762029366,,"[16.27, 46.27]",125.76558762029366,,"[8.62, 38.62]",179.49069301242724,,"[19.08, 49.08]",125.57982899388497
sample_45,124.71668391559956,81.0,,"[30.00, 60.00]",129.24247318485195,,"[4.39, 34.39]",127.37954381830069,,"[4.39, 34.39]",127.37954381830069,,"[24.02, 54.02]",129.0776816684345,,"[5.62, 35.62]",127.34609095613175
sample_46,71.4101368203614,71.0,,"[29.20, 59.20]",130.90488657119067,,"[9.08, 39.08]",118.8448093506484,,"[9.08, 39.08]",118.8448093506484,,"[16.34, 46.34]",66.82160012270583,,"[10.92, 40.92]",118.98984565294606
sample_47,126.30702902457026,84.0,,"[20.30, 50.30]",67.27222198047764,,"[11.79, 41.79]",66.8075659263506,,"[11.79, 41.79]",66.8075659263506,,"[22.23, 52.23]",117.50041394848229,,"[11.14, 41.14]",66.8075659263506
sample_48,133.1144821700784,78.0,,"[28.90, 58.90]",127.85092957997212,,"[11.85, 41.85]",117.87262452257286,,"[11.85, 41.85]",117.87262452257286,,"[18.56, 48.56]",127.47931966477478,,"[9.30, 39.30]",117.62169492212328
sample_49,128.02208300374693,74.0,,"[26.55, 56.55]",119.32451598203825,,"[28.10, 58.10]",119.33459265143007,,"[28.10, 58.10]",119.33459265143007,,"[9.62, 39.62]",125.42701267538568,,"[29.21, 59.20]",128.1854959427126
sample_50,124.3717694317697,75.0,,"[11.70, 41.70]",128.18685438367396,,"[29.45, 59.45]",114.75775535301186,,"[29.45, 59.45]",114.75775535301186,,"[13.95, 43.95]",123.60875244140905,,"[28.54, 58.54]",114.75775535181413
sample_51,127.48599552204853,72.0,,"[30.00, 60.00]",132.31113352757362,,"[12.60, 42.60]",131.22436403227016,,"[12.60, 42.60]",131.22436403227016,,"[21.39, 51.39]",134.42867989816446,,"[13.66, 43.66]",131.22436403226044
sample_52,118.25833213455812,77.0,,"[2.35, 32.35]",130.0189778583863,,"[21.29, 51.29]",129.0880252193346,,"[21.29, 51.29]",129.0880252193346,,"[2.29, 32.29]",130.0189778583863,,"[22.22, 52.22]",126.64664412771597
sample_53,123.5739260763652,68.0,,"[22.95, 52.95]",123.99576873069367,,"[10.23, 40.23]",179.4847687759882,,"[10.23, 40.23]",179.4847687759882,,"[12.79, 42.79]",179.17352637022492,,"[8.06, 38.06]",125.9573755533338
sample_54,126.53943707691526,93.0,,"[9.70, 39.70]",124.9477556796393,,"[9.33, 39.33]",124.9477556796393,,"[9.33, 39.33]",124.9477556796393,,"[8.73, 38.73]",125.10031704188549,,"[11.56, 41.56]",125.2528784041317
sample_55,73.11186994038475,96.0,,"[30.00, 60.00]",177.1841341029854,,"[13.69, 43.69]",71.5986411458997,,"[13.69, 43.69]",71.5986411458997,,"[0.45, 30.45]",117.56323087543247,,"[15.77, 45.77]",71.90396584162183
sample_56,68.13403264259705,93.0,,"[25.00, 55.00]",179.47395892783837,,"[23.51, 53.51]",121.24840972897628,,"[23.51, 53.51]",121.24840972897628,,"[15.41, 45.41]",68.36292636928498,,"[24.28, 54.28]",179.47395892783837
sample_57,70.26615078143087,95.0,,"[22.40, 52.40]",128.63275804979764,,"[0.06, 30.06]",72.45006025109568,,"[0.06, 30.06]",72.45006025109568,,"[17.27, 47.27]",69.73329825475258,,"[0.00, 30.00]",72.2975338084618
sample_58,125.88085722495715,91.0,,"[20.80, 50.80]",122.37145150965966,,"[17.08, 47.08]",122.06628579516271,,"[17.08, 47.08]",122.06628579516271,,"[19.80, 49.80]",122.2188686524157,,"[14.89, 44.89]",122.38044769279936
sample_59,67.81653417383832,90.0,,"[0.60, 30.60]",132.5772064395065,,"[20.42, 50.42]",67.26574203062154,,"[20.42, 50.42]",67.26574203062154,,"[28.83, 58.83]",179.52784210893776,,"[22.25, 52.25]",67.12761056355626
sample_60,71.86144548772984,84.0,,"[30.00, 60.00]",179.8824718259867,,"[22.01, 52.01]",178.69064941617629,,"[22.01, 52.01]",178.69064941617629,,"[25.98, 55.98]",179.58591985194434,,"[18.83, 48.83]",178.53805278986016
sample_61,67.75576289361422,83.0,,"[0.95, 30.95]",128.96242768910466,,"[23.19, 53.19]",122.69286794249288,,"[23.19, 53.19]",122.69286794249288,,"[27.14, 57.14]",122.5643954097792,,"[27.88, 57.88]",122.41176228972174
sample_62,70.94439225993975,78.0,,"[30.00, 60.00]",72.3213048476241,,"[12.47, 42.47]",70.63387618831682,,"[12.47, 42.47]",70.63387618831682,,"[21.79, 51.79]",71.83378428700857,,"[10.89, 40.89]",70.7763222903932
sample_63,117.42782871046636,66.0,,"[18.00, 48.00]",69.70992596899461,,"[7.36, 37.36]",131.30214721836336,,"[7.36, 37.36]",131.30214721836336,,"[17.68, 47.68]",69.86246410021779,,"[5.49, 35.49]",130.99679338625995
sample_64,124.90178630830032,66.0,,"[10.75, 40.75]",70.62817077177293,,"[9.56, 39.56]",112.730492874479,,"[9.56, 39.56]",112.730492874479,,"[8.33, 38.33]",125.1115009372109,,"[10.49, 40.49]",70.62817077177293
sample_65,69.19495102505995,69.0,,"[30.00, 60.00]",70.9731431084932,,"[17.73, 47.73]",70.95578641727101,,"[17.73, 47.73]",70.95578641727101,,"[22.05, 52.05]",71.41867412009562,,"[14.62, 44.62]",70.79703919653323
sample_66,130.62974168276023,61.0,,"[30.00, 60.00]",133.2720220402015,,"[0.62, 30.62]",130.17106498405764,,"[0.62, 30.62]",130.17106498405764,,"[9.56, 39.56]",131.24016103641802,,"[0.95, 30.95]",130.17192716751694
sample_67,124.27657678573358,59.0,,"[30.00, 60.00]",131.6767167171124,,"[16.46, 46.46]",124.5623240950385,,"[16.46, 46.46]",124.5623240950385,,"[14.12, 44.12]",124.38072852471642,,"[17.24, 47.24]",124.56428416297055
sample_68,114.81903730091548,61.0,,"[30.00, 60.00]",129.44411246716396,,"[0.25, 30.25]",67.9020246003568,,"[0.25, 30.25]",67.9020246003568,,"[12.96, 42.96]",66.52872522572761,,"[1.98, 31.98]",67.90202459965069
